mwe,frequency,length,type,idiomaticity_score,is_idiomatic,known_idiom
pan comido.,0,2,noun_phrase,0.950,True,True
eso no es,12,3,ngram,0.700,True,False
eso es lo,11,3,ngram,0.700,True,False
no hay nada,10,3,ngram,0.700,True,False
a estar bien.,5,3,ngram,0.700,True,False
la puta boca,0,3,noun_phrase,0.650,True,False
metí la pata,0,3,noun_phrase,0.650,True,False
no hay,39,2,ngram,0.600,True,False
esto es,37,2,ngram,0.600,True,False
por favor.,35,2,ngram,0.600,True,False
no puedo,33,2,ngram,0.600,True,False
vamos a,32,2,ngram,0.600,True,False
está bien.,32,2,ngram,0.600,True,False
"sí, lo",28,2,ngram,0.600,True,False
eso no,26,2,ngram,0.600,True,False
que sí.,25,2,ngram,0.600,True,False
no sé,25,2,ngram,0.600,True,False
"por favor,",24,2,ngram,0.600,True,False
de aquí.,23,2,ngram,0.600,True,False
gracias por,23,2,ngram,0.600,True,False
yo no,23,2,ngram,0.600,True,False
ya lo,22,2,ngram,0.600,True,False
lo sé.,22,2,ngram,0.600,True,False
va a,22,2,ngram,0.600,True,False
¿de qué,22,2,ngram,0.600,True,False
que no.,21,2,ngram,0.600,True,False
¿dónde está,20,2,ngram,0.600,True,False
¿qué te,19,2,ngram,0.600,True,False
"lo siento,",19,2,ngram,0.600,True,False
tenemos que,17,2,ngram,0.600,True,False
no quiero,17,2,ngram,0.600,True,False
muy bien.,17,2,ngram,0.600,True,False
"está bien,",17,2,ngram,0.600,True,False
¿qué es,17,2,ngram,0.600,True,False
¿qué demonios,16,2,ngram,0.600,True,False
creo que,16,2,ngram,0.600,True,False
¿quién es,16,2,ngram,0.600,True,False
tienes que,15,2,ngram,0.600,True,False
a casa.,15,2,ngram,0.600,True,False
esto no,15,2,ngram,0.600,True,False
lo siento.,15,2,ngram,0.600,True,False
eres un,15,2,ngram,0.600,True,False
¿qué diablos,14,2,ngram,0.600,True,False
¿qué le,13,2,ngram,0.600,True,False
¿de dónde,13,2,ngram,0.600,True,False
¿cómo lo,13,2,ngram,0.600,True,False
¿cuál es,13,2,ngram,0.600,True,False
de acuerdo.,13,2,ngram,0.600,True,False
es eso?,12,2,ngram,0.600,True,False
"muy bien,",12,2,ngram,0.600,True,False
¿qué estás,11,2,ngram,0.600,True,False
lo he,11,2,ngram,0.600,True,False
¿en qué,11,2,ngram,0.600,True,False
no tiene,11,2,ngram,0.600,True,False
en serio.,11,2,ngram,0.600,True,False
nada que,11,2,ngram,0.600,True,False
un buen,11,2,ngram,0.600,True,False
lo es.,11,2,ngram,0.600,True,False
es esto?,11,2,ngram,0.600,True,False
estoy bien.,10,2,ngram,0.600,True,False
de nuevo.,10,2,ngram,0.600,True,False
de ti.,10,2,ngram,0.600,True,False
a mí.,10,2,ngram,0.600,True,False
por qué?,10,2,ngram,0.600,True,False
¿no es,10,2,ngram,0.600,True,False
con él.,10,2,ngram,0.600,True,False
hay nada,10,2,ngram,0.600,True,False
soy yo.,10,2,ngram,0.600,True,False
¿y qué,10,2,ngram,0.600,True,False
lo hice.,10,2,ngram,0.600,True,False
está aquí.,10,2,ngram,0.600,True,False
¿por qué lo,9,3,ngram,0.600,True,False
¿sabes lo que,8,3,ngram,0.600,True,False
no va a,8,3,ngram,0.600,True,False
no voy a,7,3,ngram,0.600,True,False
¿por qué no,7,3,ngram,0.600,True,False
sé lo que,7,3,ngram,0.600,True,False
yo no lo,6,3,ngram,0.600,True,False
no sé de,6,3,ngram,0.600,True,False
esto no es,6,3,ngram,0.600,True,False
me voy a,6,3,ngram,0.600,True,False
todo lo que,6,3,ngram,0.600,True,False
hay nada que,6,3,ngram,0.600,True,False
¿qué es lo,6,3,ngram,0.600,True,False
no hay nada que,6,4,ngram,0.600,True,False
lo que sea.,5,3,ngram,0.600,True,False
salir de aquí.,5,3,ngram,0.600,True,False
sé de qué,5,3,ngram,0.600,True,False
es todo lo,5,3,ngram,0.600,True,False
ese es el,5,3,ngram,0.600,True,False
no sé qué,5,3,ngram,0.600,True,False
¿dónde está mi,5,3,ngram,0.600,True,False
¿por qué no?,5,3,ngram,0.600,True,False
hablar con él.,5,3,ngram,0.600,True,False
por supuesto que,5,3,ngram,0.600,True,False
no sé de qué,5,4,ngram,0.600,True,False
que hacer algo.,4,3,ngram,0.600,True,False
tienes que hacer,3,3,ngram,0.600,True,False
no puedes hacer,3,3,ngram,0.600,True,False
no puedo hacer,3,3,ngram,0.600,True,False
podría ser cualquiera,0,3,noun_phrase,0.600,True,False
no podría estar más de acuerdo,0,6,noun_phrase,0.600,True,False
no puede ser verdad,0,4,noun_phrase,0.600,True,False
las manos,3,2,ngram,0.550,False,False
la cabeza,0,2,noun_phrase,0.550,False,False
mi cabeza,0,2,noun_phrase,0.550,False,False
¡las manos,0,2,noun_phrase,0.550,False,False
tus ojos,0,2,noun_phrase,0.550,False,False
el pelo,0,2,noun_phrase,0.550,False,False
la boca,0,2,noun_phrase,0.550,False,False
los ojos,0,2,noun_phrase,0.550,False,False
