idiom,num_contexts,contexts
a  veces ,326,"Por  lo  tanto ,  a  veces  los  datos  que  están  disponibles  para  la  recopilación  impactan  la  estrategia  en  línea . ||| Ella  se  acredita  a  veces  como  "" Christina  Tucci "" . ||| Un  popular  escritor  de  la  época  fue  Unno  Juza ,  a  veces  llamado  "" el  padre  de  la  ciencia  ficción  japonesa "" . ||| A  pesar  de  que  los  sistemas  de  salud  en  Polonia  son  gratuitos  para  las  personas  cubiertas  con  seguro  de  salud,​  a  veces  estos  son  lentos . ||| El  evento  de  Tunguska  se  explica  a  veces  de  esta  manera . ||| Este  desempeño  se  utiliza  a  veces  en  lugar  del  vídeo  principal . ||| De  hecho ,  a  veces  debe  elegir  deliberadamente  el  mal . ||| Hannah  también  a  veces  intenta  usar  su  doble  personalidad  como  excusa . ||| Ella  es  también  muy  adinerada  y  a  veces  puede  encontrarse  ayudando  a  Kotaro  con  Chinami . ||| El  presidente  Polk  a  veces  discutía  asuntos  de  política  con  ella ."
por  parte ,248,"A  diferencia  de  Europa ,  la  población  también  habrá  crecido  considerablemente  para  mediados  de  siglo ,  incrementando  con  ello  la  demanda  de  empleo  por  parte  de  esta  población . ||| Sin  embargo ,  una  actualización  el  19  de  julio  por  parte  de  Apple  ofreció  varias  mejoras . ||| FIPS  PUB  180-1  también  alentó  la  adopción  y  uso  del  SHA-1  por  parte  de  organizaciones  privadas  y  comerciales . ||| Estas  organizaciones  daban  respuesta  a  una  necesidad  real  por  parte  de  las  instituciones  europeas . ||| El  18  de  diciembre  de  2013 ,  el  aeropuerto  fue  entregado  al  Gobierno  de  Kosovo  por  parte  de  la  Fuerza  Aérea  Italiana  . ||| PSI  también  lucha  contra  la  evasión  de  impuestos  por  parte  de  las  multinacionales  y  es  miembro  fundador  de  la  Comisión  Internacional  para  la  Reforma  de  la  Imposición  Internacional  a  las  Empresas . ||| Este  día  cobra  cada  vez  más  importancia  y  es  uno  de  los  grandes  impulsos  por  parte  de  la  juventud ,  ya  que  vuelve  a  las  raíces  de  un  carnaval  desorganizado  institucionalmente . ||| En  la  misma  entrevista  cuestionó  la  escala  del  uso  de  cámaras  de  gas  por  parte  de  los  nazis  y  la  autenticidad  del  diario  de  Ana  Frank . ||| La  persecución  por  parte  de  Desert  Mounted  Corps  había  capturado  a  la  mitad  de  ellos . ||| Sin  embargo ,  algunos  sostienen  que  el  personal  ferroviario  está  sometido  a  demasiada  presión  por  parte  del  público ."
tales  como ,163,"Aunque  parques  temáticos  más  sencillos  dirigidos  directamente  hacia  los  niños  también  han  surgido ,  tales  como  Legoland . ||| Ambas  técnicas  tienen  algunas  décadas ,  apareciendo  en  lenguajes  tales  como  Smalltalk  en  la  década  de  1980 . ||| A  pesar  de  esto ,  estas  industrias  siguen  enfrentando  dificultades  tales  como  la  desaparición  de  materias  primas  ,  la  competencia  de  productos  industriales  ypocos  canales  para  comercializar  los  productos . ||| También  hay  categorías  para  los  niños ,  tales  como  la  85clase  cc . ||| Sin  embargo ,  el  término  “ Irlanda ”  siempre  es  usado  en  contextos  diplomáticos  formalos  tales  como  la  Unión  Europea  o  las  Naciones  Unidas . ||| Las  basadas  en  propiedades  que  no  esten  directamente  relacionadas  con  el  peso  atómico ,  tales  como  resonancias  nucleares . ||| Los  edificios  locales ,  tales  como  The  Three  Horseshoes  Pub  y  la  Aldenham  School ,  se  utilizaron  durante  la  filmación . ||| Los  productos  estratégicos ,  tales  como  la  tecnología  nuclear ,  todavía  se  negocian  bilateralmente  en  lugar  de  en  un  mercado  abierto  multilateral . ||| Impresionante  son  los  numerosos  proyectos  de  arte  internacionales  que  Bleus  ha  organizado ,  tales  como  Are  you  experienced ? ||| Solo  los  funcionarios  podían  votar  en  el  consejo ;  miembros  no  oficiales ,  tales  como  Jinnah ,  no  tenían  voto ."
tuvo  lugar ,162,"La  mayoría  de  la  grabación  tuvo  lugar  en  los  Inmersive  Studios  en  Boulder ,  donde  ella  había  trabajado  anteriormente . ||| Sin  embargo ,  la  tercera  y  última  de  sus  campañas  en  Daguestán ,  que  tuvo  lugar  en  1488 ,  resultó  ser  la  última . ||| Un  mes  antes  de  la  Conferencia  de  Lausana ,  el  29  de  marzo  de  1949 ,  un  golpe  de  Estado  tuvo  lugar  en  Siria . ||| El  lugar  tradicional  donde  tuvo  lugar  esta  reunión  está  marcada  por  la  Ambasthala  Dagaba . ||| Un  amigo  mío  me  contó  que  el  artículo  de  Sokal  tuvo  lugar  en  una  reunión  de  un  grupo  de  lectura  de  izquierda  del  que  él  era  parte . ||| El  matrimonio  nunca  tuvo  lugar  pero  Le  Franc  continuó  enseñando  en  la  región . ||| El  matrimonio  de  William  tuvo  lugar  en  algún  momento  antes  de  1422 . ||| Esto  fue  ligeramente  menor  que  la  primera  pelea ,  que  tuvo  lugar  en  enero  de  2015 . ||| Solo  una  reunión ,  la  octava  reunión  anual  de  1943 ,  no  tuvo  lugar  físicamente . ||| También  publicaron  un  enlace  a  una  página  de  RSVP  para  un  evento  en  la  Ciudad  de  México  que  tuvo  lugar  el  7  de  junio  a  las  9:30  a.m .  y  a  las  11:30  a.m ."
llevó  a  cabo ,138,"Desde  1825 ,  Étienne  de  Gerlache  llevó  a  cabo  un  intento  fallido  de  acuerdo  y  reconciliación . ||| La  división  actual  de  la  India  británica  entre  los  dos  nuevos  dominios  se  llevó  a  cabo  de  acuerdo  a  lo  que  se  le  conoce  como  el  plan  del  3  de  junio  o  Plan  de  Mountbatten . ||| La  Unión  Soviética  llevó  a  cabo  el  comercio  bilateral  con  dos  naciones ,  la  India  y  Finlandia . ||| Posteriormente  llevó  a  cabo  una  importante  labor ,  que  todavía  es  citada ,  sobre  la  estructura  del  carbón . ||| Tras  la  primera  edición ,  organizada  en  Sanok ,  el  Festival  fue  trasladado  a  Cieszyn ,  donde  se  llevó  a  cabo  en  cuatro  ocasiones  entre  2002  y  2005 . ||| El  14  de  febrero  un  grupo  de  ataque  similar  llevó  a  cabo  un  misión  de  "" cacería ""  en  el  área  de  Oak-Yurt  y  Hatun . ||| Nada  grande  que  jamás  hayan  hecho  los  ingleses  se  llevó  a  cabo  de  manera  tan  no  intencionada  o  accidentalmente  como  la  conquista  de  la  India "" . ||| "" ¿ Donde  están  corazón ? ""  se  llevó  a  cabo  en  lugar  de  "" Experiencia  Religiosa ""  en  Nueva  York ,  Miami  y  Atlantic  City . ||| Esta  campaña  se  llevó  a  cabo  en  1962  para  alimentar  a  miles  de  refugiados  de  Hong  Kong . ||| Un  segundo  debate  se  llevó  a  cabo  el  23  de  mayo  de  2010 ,  también  sin  un  claro  ganador ."
Hoy  en  día,114,"Hoy  en  día ,  tenemos  sólo  53  capítulos  a  través  de  los  cuales  intentamos  entender  esta  escuela  de  pensamiento ,  según  lo  compilado  por  Sun  Yirang . ||| Hoy  en  día ,  si  nos  fuimos  a  Irak ,  como  el  presidente  quiere  que  hagamos ,  ya  sabe  dónde  comenzar . ||| Hoy  en  día ,  hay  22  ( en  nueve  subcategorías ) . ||| Hoy  en  día ,  funciona  como  "" ELCHO "" . ||| Hoy  en  día ,  algunas  personas  lo  llaman  un  edificio  Itaú  Bank . ||| Hoy  en  día ,  todo  el  mundo  en  todos  los  aspectos  de  su  vida  cotidiana  están  a  favor  o  en  contra  de  la  globalización "" . ||| Hoy  en  día ,  conocemos  que  incluso  los  protones  y  neutrones  no  son  indivisibles ,  pudiendo  ser  divididos  en  quarks ,  mientras  que  los  electrones  son  parte  de  una  familia  de  partículas  llamadas  leptones . ||| Hoy  en  día ,  los  instrumentos  modernos  están  suficientemente  automatizados  para  permitir  hacer  estos  análisis  rutinariamente . ||| Hoy  en  día ,  el  término  Territorios  Occidentales  ( En  polaco :  Ziemie  Zachodnie )  es  más  popular  debido  a  su  neutralidad  ideológica . ||| Hoy  en  día ,  sin  embargo ,  la  versión  en  blanco  y  negro  se  ha  convertido  en  la  imagen  más  popular  de  Don  Quijote ."
otra  vez ,100,"Costa  Rica  otra  vez  se  llevó  la  corona  -  NOV . ||| Más  tarde ,  ella  otra  vez  afirmó  ser  Anastasia . ||| Ella  no  lo  vio  otra  vez  hasta  1302 . ||| « Se  repite  la  historia :  Juan  Merino ,  otra  vez  sustituto  provisional » . ||| En  2005 ,  la  actividad  volcánica  otra  vez  amenazó  la  ciudad . ||| Preguntas ,  respuestas ,  pérdida  de  la  respuesta  otra  vez  y  más  preguntas ,  y  esto  es  lo  que  realmente  me  interesa . ||| No  voy  a  jugar  contigo  otra  vez  hasta  que  hayas  tenido  un  lavado "" . ||| Los  ovarios  bloqueados  pueden  comenzar  a  funcionar  otra  vez  sin  una  explicación  médica  clara . ||| Liley  Era  para  romper  el  récord  otra  vez  con  446  puntos  en  1995-96 . ||| El  Senado  y  el  congreso  fueron  otra  vez  parte  del  proceso  democrático  del  país ."
llevar  a  cabo ,96,"Tienen  autoridad  legal  bajo  Título  10  del  Código  de  los  Estados  Unidos  para  llevar  a  cabo  todos  los  asuntos  de  sus  respectivos  departamentos  dentro  de  los  cuales  los  servicios  militares  están  organizados . ||| Es  capaz  de  llevar  a  cabo  todas  las  actividades  habituales ,  a  pesar  de  algunos  síntomas . ||| No  puedo  esperar  a  llegar  al  escenario  y  llevar  a  cabo  este  nuevo  material . ||| ¿ Pero  seré  capaz  de  llevar  a  cabo  mi  propia  tarea  hasta  el  final ? ||| El  máximo  es  de  cuatro  investigadores  chilenos  puedan  llevar  a  cabo  trabajos  científicos  en  la  base . ||| Francia  desplegó  una  variedad  de  personal  para  llevar  a  cabo  esta  tarea ,  incluyendo  49.000  prisioneros  de  guerra  alemanes . ||| Antes  de  esto ,  la  industria  petroquímica  era  un  sector  tentativo  donde  se  podían  llevar  a  cabo  varios  experimentos . ||| Tardaron  una  década  más  para  llevar  a  cabo  este  control  directo . ||| Él  dijo  que  los  jóvenes  palestinos  también  fueron  utilizados  por  esta  unidad  en  particular  para  llevar  a  cabo  tareas  militares  para  el  ejército  israelí . ||| Google  permite  a  un  estudiante  para  llevar  a  cabo  un  solo  proyecto ,  como  parte  del  programa ."
por  lo  general ,94,"Sin  embargo ,  desde  1911  Kraus  fue  por  lo  general  el  único  autor . ||| Como  los  ciudadanos  biológicos ,  los  drones  de  La  Cultura  por  lo  general  tienen  nombres  largos . ||| Sin  embargo ,  una  cuenta  local  por  lo  general  sigue  siendo  necesario  para  situaciones  de  emergencia . ||| Él  está  borracho  por  lo  general  y  cree  que  sus  palabras  pueden  proporcionar  cualquier  esperanza . ||| Papa  Hudson  es  tan  gordo ,  que  por  lo  general  sólo  vemos  el  brazo  y  el  estómago  a  través  de  su  puerta  o  ventana . ||| La  infatuación  en  la  política  en  general  y  por  lo  general  juega  el  peor  papel . ||| Creo  que  la  gente  debe  ser  uno  o  el  otro ,  porque  por  lo  general  no  va  a  ser  grande  en  ambos . ||| La  escuela  de  arte ,  por  lo  general  se  considera  difícil ,  pero  era  fácil  para  Kandinski . ||| Es  especialmente  común  comerlos  durante  el  desayuno  porque  la  carne  por  lo  general  no  se  come  por  la  mañana . ||| Four-strokes  son  cada  vez  más  común ,  por  lo  general  KTM  ( Austria ) ."
A  veces ,87,"A  veces  es  necesario  hacer  cosas  que  no  te  gustan . ||| A  veces  se  necesita  consejo ,  pero  uno  debe  estudiar ... ||| A  veces  parece  que  le  gusta  Felicità  más  que  un  amiga . ||| A  veces  lo  bebo  cuando  estoy  sola . ||| A  veces  me  despierto  con  una  melodía  en  la  cabeza ,  oigo  los  instrumentos ,  todo  muy  clarito . ||| A  veces  solo  quiere  ser  parte  de  un  grupo  popular . ||| A  veces  se  considera  como  un  álbum ,  aunque  "" María  José ""  es  un  EP . ||| A  veces  se  les  llama  de  "" Shiraz ""  porque  Shiraz  era  el  mayor  mercado  para  ellos  en  el  pasado . ||| A  veces  se  refiere  a  su  hermana  como  alguien  que  parece  un  caballo . ||| A  veces  puede  ser  superior  al  50% ,  a  veces  inferior ."
hoy  en  día,82,"Al  igual  que  mi  estilo  de  hoy  en  día ,  yo  no  trato  de  ser  urbano  típico . ||| "" Incluso  hoy  en  día "" ,  dijo  Tsai ,  "" siento  que  no  pertenezco  ni  a  Taiwán  ni  a  Malasia . ||| El  objetivo  original  de  la  Convención  del  Metro  -  la  uniformidad  en  todo  el  mundo  de  la  medición  -  sigue  siendo  tan  importante  hoy  en  día ,  en  2015 ,  como  lo  fue  en  1875 . ||| Sus  819  líneas  fueron  casi  de  alta  definición  incluso  para  los  estándares  de  hoy  en  día . ||| Mientras  que  este  tipo  de  programa  pueda  parecer  rudimentario  hoy  en  día ,  fue  una  novedad  cuándo  los  nuevos  estados  árabes  nuevos  fueron  establecidos  en  el  periodo  posterior  de  cuatro  siglos  oscuros  bajo  la  opresión  otomana  que  solo  acabó  después  de  la  Primera  Guerra  mundial . ||| Pero  hoy  en  día ,  el  apoyo  al  Flamurtari  ha  ido  disminuyendo . ||| Por  lo  tanto  hoy  en  día ,  el  Orange  Bowl  Junior  es  en  Coral  Gables . ||| Incluso  hoy  en  día ,  el  impacto  de  las  reformas  todavía  se  puede  ver  en  la  vida  cultural  japonesa . ||| En  total ,  hay  alrededor  de  91.000  científicos  en  Polonia  hoy  en  día . ||| En  aquel  entonces ,  y  aún  hoy  en  día ,  esta  decisión ,  tomada  por  el  alcalde ,  fue  muy  criticada ."
