numerical_id,idiom,idiom_literal_translation,idiomatic_meaning,idiomatic_meaning_translation,familiarity,sd_familiarity,n_familiarity,knowledge,sd_knowledge,n_knowledge,knowledge_%,decomposability,n_decomposability,literality,sd_literality,n_literality,predictability_%,n_predictability,valence,sd_valence,n_valence,arousal,sd_arousal,n_arousal,length_in_letters,length_in_words
1,A alguien le patina el embrague,Someone's clutch is slipping,Se equivoca más de lo normal,Making more mistakes than usual,1.9047619047619047,1.546,21,3.05,2.438,20,5.0,0.21739130434782608,23,3.7857142857142856,2.119,14,4.3478260869565215,23,2.5555555555555554,0.527,9,3.6363636363636362,1.629,11,26,6
2,A caballo regalado no le mires el diente,Don't look a gift horse in the mouth,Aceptar los regalos sin pensarlo demasiado,Accepting gifts without giving them much thought,5.0,1.732,21,6.4,1.121,15,93.33333333333333,0.6071428571428571,28,4.095238095238095,2.322,21,55.00000000000001,20,4.461538461538462,1.24,26,3.3157894736842106,1.701,19,33,8
3,"A enemigo que huye, puente de plata","To a fleeing enemy, a silver bridge",Facilitar el abandono de un competidor,Facilitating the abandonment of a competitor,1.4285714285714286,1.165,21,2.3333333333333335,2.289,15,33.33333333333333,0.36666666666666664,30,2.230769230769231,1.964,13,26.08695652173913,23,4.285714285714286,1.816,14,3.857142857142857,2.478,7,29,7
4,"A falta de pan, buenas son tortas","For lack of bread, cakes are good",Confórmate con lo que tienes,Be content with what you have,4.681818181818182,2.191,22,3.0,2.582,22,22.727272727272727,0.4782608695652174,23,4.388888888888889,2.279,18,56.52173913043478,23,3.75,1.517,20,4.0,1.595,23,27,7
5,A la tercera va la vencida,Third time's the charm,Si se repite el intento se consigue,"If you try it again, you get it",6.464285714285714,1.105,28,6.578947368421052,0.838,19,100.0,0.9130434782608695,23,4.2631578947368425,1.91,19,88.88888888888889,18,5.368421052631579,1.065,19,5.153846153846154,1.541,26,21,6
6,A nadie le amarga un dulce,No one is bitter for a sweet,"Nadie rechaza algo agradable, aunque sea poca cosa","No one turns down something nice, even if it's a small thing",3.903225806451613,2.315,31,4.476190476190476,2.442,21,61.904761904761905,0.7857142857142857,28,5.045454545454546,1.588,22,55.55555555555556,18,4.823529411764706,0.951,17,4.388888888888889,1.819,18,21,6
7,"A rey muerto, rey puesto","A dead king, king put",Nadie es imprescindible ,No one is indispensable ,3.7666666666666666,2.329,30,3.2857142857142856,2.493,21,47.61904761904761,0.3333333333333333,24,3.2222222222222223,2.39,18,52.38095238095239,21,4.36,1.221,25,3.96,1.485,25,20,5
8,"A río revuelto, ganancia de pescadores","A river in turmoil, a fisherman's gain",Se obtiene provecho del caos,Profit from chaos,1.619047619047619,1.024,21,2.066666666666667,1.944,15,20.0,0.36363636363636365,22,3.6666666666666665,2.425,18,33.33333333333333,18,4.875,1.025,16,3.7857142857142856,1.968,14,33,6
9,Abrir el paraguas antes que llueva,Open the umbrella before it rains,Ser demasiado precavido,Be too cautious,1.7619047619047619,1.136,21,4.45,2.212,20,75.0,0.5652173913043478,23,5.090909090909091,2.114,22,80.0,20,4.333333333333333,1.534,18,3.5384615384615383,1.33,13,29,6
10,Abrir la caja de los truenos,Open the box of thunder,Hacer o decir algo que traerá problemas o conflictos,Doing or saying something that will bring trouble or conflict,2.2,1.508,20,5.25,1.997,20,85.0,0.4782608695652174,23,2.5,1.871,22,10.0,20,1.6875,0.704,16,5.0,1.865,24,23,6
11,Acabar como el rosario de la aurora,To end up as the rosary of the dawn,Enfadados o peleados por falta de acuerdo,Angry or quarrelling because of lack of agreement,3.9523809523809526,2.085,21,3.6666666666666665,2.87,15,53.333333333333336,0.08695652173913043,23,2.4444444444444446,2.307,18,75.0,20,1.8,1.152,20,3.25,2.05,12,29,7
